,building_condition,kitchen_type,bedrooms,furnished,swimming_pool,garden,terrace,surface_plot,living_area,log_price,property_type_APARTMENT,property_type_HOUSE,city_Aalst,city_Antwerpen,city_Arlon,city_Arrondissement Brussel-Hoofdstad,city_Ath,city_Bastogne,city_Brugge,city_Charleroi,city_Dendermonde,city_Diksmuide,city_Dinant,city_Eeklo,city_Gent,city_Halle-Vilvoorde,city_Hasselt,city_Huy,city_Ieper,city_Kortrijk,city_Leuven,city_Liège,city_Maaseik,city_Marche-en-Famenne,city_Mechelen,city_Mons,city_Mouscron,city_Namur,city_Neufchâteau,city_Nivelles,city_Oostende,city_Oudenaarde,city_Philippeville,city_Roeselare,city_Sint-Niklaas,city_Soignies,city_Thuin,city_Tielt,city_Tongeren,city_Tournai,city_Turnhout,city_Verviers,city_Veurne,city_Virton,city_Waremme
81,6.0,2.0,2,0,0,0,1,0.0,4.867534450455582,12.762827201184564,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2.0,2.0,3,0,1,0,1,0.0,5.3471075307174685,12.834681304952548,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2.0,2.0,2,0,1,0,1,0.0,4.867534450455582,13.142166004700508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2.0,0.0,2,0,1,0,0,0.0,5.19295685089021,13.513053199930338,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,6.0,2.0,3,0,0,0,1,0.0,4.700480365792417,14.626440774180603,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6.0,2.0,2,0,0,0,1,0.0,4.836281906951478,14.669925886120343,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,6.0,2.0,3,0,0,0,1,0.0,4.976733742420574,13.527828485512494,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,6.0,2.0,3,0,0,0,1,0.0,5.10594547390058,13.45166712454693,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,6.0,0.0,1,0,1,0,1,0.0,4.736198448394496,13.17115354157376,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,6.0,2.0,3,0,0,0,1,0.0,5.652489180268651,14.346138809026444,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
